id;room_code;mode;bible_study_session_id;group_number;current_card_id;current_level;used_card_ids;pass_count;status;created_at;updated_at;timer_duration;timer_started_at;timer_running;sharing_mode;shared_member_ids;current_drawer_id;current_drawer_card_id;drawer_order
3a284102-0aee-44f9-bac0-d5358a5716a5;Y2MU;session;2275728a-e362-4476-87ed-bcaf577ea1ef;49;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
6a0a29a4-70dc-4ef7-abff-960452a2114f;J9YL;session;2275728a-e362-4476-87ed-bcaf577ea1ef;50;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
cf94b7de-ebfd-47e1-988e-2a660e593580;HQXK;session;2275728a-e362-4476-87ed-bcaf577ea1ef;6;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
4fe1d594-d416-4840-a516-54c257f44ccb;QAE8;session;2275728a-e362-4476-87ed-bcaf577ea1ef;7;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
0f87affe-3bde-4998-84f5-2ef0a5ba591e;XT64;session;2275728a-e362-4476-87ed-bcaf577ea1ef;8;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
54f24fd0-f113-42b1-8af4-3795022d9738;K2U5;session;2275728a-e362-4476-87ed-bcaf577ea1ef;9;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
339073ef-a10c-44dc-ae87-90afcbcbf9bb;KLNV;session;2275728a-e362-4476-87ed-bcaf577ea1ef;10;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
1e8b132d-c1a8-43c3-a42c-a108749c2bd6;AX4Z;session;2275728a-e362-4476-87ed-bcaf577ea1ef;51;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
d7475fb4-5499-4541-99d3-6e467c6a945f;J352;session;2275728a-e362-4476-87ed-bcaf577ea1ef;52;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
373d24d3-c6aa-4f73-b7ab-31caf18794a6;XQ8Q;session;2275728a-e362-4476-87ed-bcaf577ea1ef;53;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
00dc38bd-5688-4a80-b161-2f12af3de67d;EK3Y;session;2275728a-e362-4476-87ed-bcaf577ea1ef;54;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
de59b150-b027-4bc9-b939-65c4abdd409d;2UAY;session;2275728a-e362-4476-87ed-bcaf577ea1ef;55;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
b22d0db9-c0ca-4eed-a28a-975ef5574585;CNVY;session;2275728a-e362-4476-87ed-bcaf577ea1ef;56;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
bc02e5d9-62c9-42f8-8354-23ef1885d703;VVQP;session;2275728a-e362-4476-87ed-bcaf577ea1ef;57;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
54a238c8-dcce-424a-838c-75088e1cb8c6;CH3V;session;2275728a-e362-4476-87ed-bcaf577ea1ef;58;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
0b5e5287-a6c2-4eea-b1b9-5a4700766af9;JQUN;session;2275728a-e362-4476-87ed-bcaf577ea1ef;59;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
9c2854b4-0494-4069-92ec-82d8496091b2;LXKL;session;2275728a-e362-4476-87ed-bcaf577ea1ef;60;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
c61fa1d7-7a85-4a2b-8098-b9cc256d266e;LU3E;session;2275728a-e362-4476-87ed-bcaf577ea1ef;61;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
